text,label,source
"U.S. technology firms are facing increased regulatory scrutiny as lawmakers debate new rules governing artificial intelligence and data privacy.",1,reuters
"Global markets showed mixed performance as investors assessed economic data and central bank policy signals from major economies.",1,reuters
"Healthcare officials warned that funding shortages could impact ongoing public health programs, particularly in rural areas.",1,reuters
"Government officials confirmed that infrastructure investments will increase next year, focusing on transportation and energy sectors.",1,reuters
"Trade talks between major economies resumed this week, with negotiators seeking to reduce tariffs and improve market access.",1,reuters
"Climate experts emphasized the urgency of reducing emissions as extreme weather events continue to impact vulnerable regions.",1,reuters
"Financial analysts reported strong earnings from banking institutions, driven by higher interest rates and loan demand.",1,reuters
"Authorities launched an investigation into alleged market manipulation involving several major companies, according to regulatory filings.",1,reuters
"Defense officials said new security measures would be implemented following recent cyber threats targeting government systems.",1,reuters
"Education policymakers proposed reforms aimed at improving access to digital learning resources across underserved communities.",1,reuters
"Transportation officials announced plans to expand railway networks to support growing urban populations.",1,reuters
"Energy companies are investing in renewable projects as global demand shifts toward sustainable alternatives.",1,reuters
"Economic data showed moderate job growth last month, with unemployment remaining stable despite market volatility.",1,reuters
"Officials confirmed that new immigration policies would be reviewed amid ongoing political debates.",1,reuters
"International organizations called for increased humanitarian aid to regions affected by conflict and displacement.",1,reuters
"Technology companies are accelerating investments in cloud infrastructure to support rising digital demand.",1,reuters
"Government agencies warned of potential supply chain disruptions due to geopolitical tensions.",1,reuters
"Retail sales showed steady growth during the holiday season, supported by strong consumer spending.",1,reuters
"Central bank officials reiterated their commitment to controlling inflation while maintaining economic stability.",1,reuters
"Experts highlighted the importance of cybersecurity measures as digital threats continue to evolve.",1,reuters
"You won’t believe what scientists discovered hidden inside everyday drinking water that could change your life forever!",0,blog
"Government secretly approves new law that will take money directly from your bank account starting next month.",0,blog
"Doctors hate this simple trick that can cure diabetes in just 3 days without medicine.",0,blog
"Shocking truth: eating one banana daily can completely eliminate all diseases, experts say.",0,blog
"This one investment secret is making ordinary people millionaires overnight.",0,blog
"New study proves that drinking coffee doubles your lifespan instantly.",0,blog
"Top secret government files reveal aliens are already living among us.",0,blog
"This household item is secretly damaging your brain every single day.",0,blog
"World’s richest man reveals one habit that guarantees success in 24 hours.",0,blog
"Experts warn that smartphones are secretly recording your thoughts.",0,blog
"Unbelievable: man loses 50 kg in 5 days using this simple hack.",0,blog
"New conspiracy theory claims global events are controlled by hidden organizations.",0,blog
"You’ve been using toothpaste wrong your entire life – here’s the truth.",0,blog
"Scientists stunned after discovering humans can live up to 200 years.",0,blog
"This viral video proves time travel is real, and scientists can’t explain it.",0,blog
"Doctors reveal shocking side effects of drinking water at night.",0,blog
"Secret billionaire club exposed – members control global economy.",0,blog
"This food is banned in many countries but still sold everywhere.",0,blog
"Breaking: technology discovered that can read your mind instantly.",0,blog
"Experts say watching TV for one hour can reduce intelligence permanently.",0,blog
"OMG this is crazy!!! govt hiding something big 😳😳 share before it gets deleted!!!",0,twitter
"bro they just found aliens in ocean and media not talking about it 🤯",0,twitter
"this video proves earth is not round idc what anyone says 😂",0,twitter
"just saw post saying banks will close tomorrow take your money NOW!!!",0,twitter
"big pharma doesnt want you to see this video watch before deleted",0,twitter
"just drink hot water and u will never get sick again simple",0,twitter
"this is insane how are ppl not talking about this everywhere???",0,twitter
"they are controlling weather bro wake up people 🌩️",0,twitter
"proof that everything we know is fake just look at this 🤯",0,twitter
"this post will change your life forever no joke",0,twitter
"government exposed AGAIN but media silent as always",0,twitter
"this guy predicted everything years ago and nobody listened",0,twitter
"they dont teach this in school for a reason 🤫",0,twitter
"something BIG is coming soon trust me on this",0,twitter
"this is why you should never trust official news channels",0,twitter
"just saw shocking news but its already getting removed everywhere",0,twitter
"this one secret will change your entire future watch now",0,twitter
"people are waking up finally truth cant be hidden anymore",0,twitter
